m,r,rho,T,P,l,eps,kappa,nabla_ad,nabla,transport
0.009283796722178534,0.062196371585873926,53.71256414441591,19753684.513438348,1.421857622025424e+17,1.7756104652118994,313.9533757206653,0.7977942623802589,0.39681263431804203,0.39681263431804203,convective
0.010747128454969614,0.06534991136499586,53.53209562669833,19709880.93806267,1.4139254127482166e+17,2.009620424171164,301.7677679751574,0.7993506025593586,0.3968229172625508,0.3968229172625508,convective
0.012432156771544257,0.0686514465413507,53.334252179906834,19661800.55881352,1.4052497650202787e+17,2.268123571364417,288.93515194033995,0.8010694738853327,0.3968341933700176,0.3968341933700176,convective
0.014374982590179131,0.07211448179380818,53.1170485073194,19608943.154347308,1.3957495716934565e+17,2.5528858700133394,275.45652925682117,0.8029720124034011,0.3968465767164213,0.3968465767164213,convective
0.016619493892299976,0.07575568166054038,52.87810754165934,19550708.30547816,1.3853281863807979e+17,2.865760094388,261.33541296094415,0.8050838905126807,0.3968602039602765,0.3968602039602765,convective
0.019220031035242318,0.07959610140494323,52.61451827871988,19486359.081483357,1.3738677598325955e+17,3.2087344011288623,246.57660134104495,0.8074369652607226,0.39687524253326495,0.39687524253326495,convective
0.02224549810665105,0.08366313592094146,52.32261285627261,19414965.18390053,1.3612203298389669e+17,3.5840292220703924,231.18374495778625,0.8100718460821453,0.3968919034788023,0.3968919034788023,convective
0.02578607095276327,0.08799377460030607,51.99759736154407,19335308.918893836,1.3471930187036573e+17,3.9942867422606008,215.1546773928211,0.8130421194417288,0.3969104627075704,0.3969104627075704,convective
0.02996489878647,0.09264037234182244,51.63290048496263,19245719.49932487,1.3315218538957938e+17,4.442943539294779,198.4724669469899,0.8164217624271419,0.3969312984875484,0.3969312984875484,convective
0.03496000546569516,0.09768141741888764,51.218952788158695,19143762.55957954,1.3138226792407733e+17,4.934963507887359,181.08857110814188,0.8203190315659715,0.39695496170271316,0.39695496170271316,convective
0.04104582079971501,0.10324039587077945,50.740954589888574,19025670.32196481,1.2935020503354272e+17,5.478061708222008,162.89892493046142,0.8249023962287195,0.39698230442122634,0.39698230442122634,convective
0.04862508636311435,0.10948040703927302,50.17829909093608,18886163.235216998,1.2697439077601086e+17,6.080879894884356,143.82970367728916,0.8304150403884496,0.39701451460448456,0.39701451460448456,convective
0.057688257622877444,0.1161899729290154,49.543574864041965,18728128.99159942,1.243153009561313e+17,6.712427679765655,125.02426373264154,0.8367917128245556,0.3970508827873894,0.3970508827873894,convective
0.06738520359399759,0.12268064116654478,48.901391535170276,18567515.96662753,1.2164775551394595e+17,7.299507850288708,108.56312675955208,0.8434204134309318,0.39708771326385894,0.39708771326385894,convective
0.07769937339245932,0.12898325744974357,48.25243015698381,18404457.695191566,1.1897545186214626e+17,7.841591444677085,94.21233517540196,0.8503075782448758,0.3971249681995231,0.3971249681995231,convective
0.0888333565673911,0.13524034854313152,47.58451929601712,18235836.909708675,1.1624979310487278e+17,8.348687224764056,81.52241285463433,0.8576022325380085,0.3971633485311916,0.3971633485311916,convective
0.10094587840174424,0.1415335905119827,46.89012048190821,18059651.28848767,1.1344270932158464e+17,8.825091535652676,70.25824102969742,0.8654181136506554,0.39720329141549854,0.39720329141549854,convective
0.11418263952957348,0.14791781071676421,46.163681051089256,17874359.925036527,1.1053535040544101e+17,9.272757785595935,60.274636591731365,0.8738596833945,0.3972451215580705,0.3972451215580705,convective
0.12869468510772553,0.1544369066124043,45.400302924472626,17678548.720397007,1.075125588039591e+17,9.69280737143305,51.46372388823431,0.8830372761827137,0.39728912754911033,0.39728912754911033,convective
0.14464870751595305,0.16113091433840926,44.595132205799445,17470771.225500677,1.043604723285082e+17,10.086150880787288,43.733358595087175,0.8930763795411801,0.3973355970613563,0.3973355970613563,convective
0.16223524314084856,0.1680399304405819,43.742996671299245,17249447.61628694,1.0106525333457819e+17,10.453770981543824,36.997218000918295,0.9041259023699616,0.3973848379710998,0.3973848379710998,convective
0.18167693173995134,0.17520680498122282,42.838132966309885,17012781.758907586,9.761229012171843e+16,10.796847579669716,31.170090724991223,0.9163674971888986,0.39743719447523357,0.39743719447523357,convective
0.20323785069171388,0.18267936624055367,41.87394297011443,16758680.0181454,9.398563906090104e+16,11.1167931965249,26.165822579849305,0.9300273515934926,0.3974930617015933,0.3974930617015933,convective
0.22723432192013074,0.19051246251459342,40.842763645806194,16484666.188658081,9.016766911649082e+16,11.415224243393913,21.896808434334154,0.9453918101428184,0.397552899745386,0.397552899745386,convective
0.2540466543818515,0.19876975130123423,39.73567902908366,16187797.974375032,8.613904463490984e+16,11.693873395633046,18.274531863887066,0.9628281831245403,0.39761724550358357,0.39761724550358357,convective
0.2841288786144063,0.20752457842995573,38.542489594364746,15864613.695671381,8.187948203400456e+16,11.954433059611718,15.210976802792196,0.9828114041338791,0.3976867156201477,0.3976867156201477,convective
0.29487634394854106,0.21054066616315997,38.12739667070016,15751373.814944392,8.041784407355954e+16,12.036811125034468,14.306773992218256,0.9892803219708932,0.397710912448613,0.397710912448613,convective
0.2999810594488558,0.21195458170901452,37.93216163977342,15697965.16367419,7.973400157656128e+16,12.074222791777178,13.9061260922274,0.9923139113919555,0.3977222984187422,0.3977222984187422,convective
0.3050857749491705,0.21335701515888042,37.73780813066877,15644921.149087066,7.905666374207976e+16,12.110595152996263,13.52315301917075,0.99534812241628,0.39773354285173557,0.39561841618998045,radiative
0.3122544921829681,0.21530783293102332,37.46561875313718,15571319.739794375,7.811618950778515e+16,12.16000870180973,13.014395114291327,0.9995804344643551,0.3977489347725482,0.39245991010246484,radiative
0.3550479948510108,0.2265492044707223,35.85926847799706,15151466.73094721,7.274580314204835e+16,12.42027944455167,10.537602713246065,1.024964537076491,0.39783216023408186,0.3755392905417603,radiative
0.3959049297746831,0.23674445517457826,34.35592509556426,14777106.674194379,6.797007239597406e+16,12.624695046379061,8.799662886827763,1.0485392468993209,0.39790004304934784,0.3616494247716672,radiative
0.445081131421978,0.24847946613699515,32.58621711820813,14354168.840811107,6.261996452592507e+16,12.828305871225762,7.210746155877752,1.0760529627668922,0.3979698493969374,0.34711820320927245,radiative
